battery_id,init_cap,early_cap,n_early_cycles,early_fade_rate,early_cap_std,anomaly
B0005,1.8564874208181572,1.824613268496936,10.0,0.003187415232122115,0.009927894258012385,1
B0006,2.035337591005598,1.9572307917560536,10.0,0.007810679924954433,0.026685150493823532,1
B0007,1.89105229539079,1.870052380139199,10.0,0.002099991525159095,0.006044580225893433,1
B0018,1.8550045207910817,1.8231002302844224,10.0,0.0031904290506659327,0.014540129764689092,1
B0025,1.847011162956716,1.8281265632888255,10.0,0.0018884599667890578,0.010091351450119296,1
B0026,1.8132504303869896,1.8049315924982108,10.0,0.0008318837888778852,0.13460770613509299,1
B0027,1.8233077742149364,1.8047602710768988,10.0,0.0018547503138037547,0.008104198412572403,1
B0028,1.8046847720100736,1.7871529619962183,10.0,0.0017531810013855288,0.008795315600943045,1
B0029,1.697507332205763,1.7760714604539518,10.0,-0.007856412824818882,0.040439554165353934,1
B0030,1.6560706096175404,1.6990418392711273,10.0,-0.004297122965358691,0.03612967875753195,1
B0031,1.6666751942525773,1.776540165737316,10.0,-0.010986497148473884,0.046098621438462724,1
B0032,1.704864107351214,1.805799298110468,10.0,-0.010093519075925395,0.052227826150497515,1
B0033,0.0684257224060181,1.6197297341990775,10.0,-0.15513040117930593,0.49727898084836253,-1
B0034,0.7459302957645664,1.4418961035576472,10.0,-0.06959658077930808,0.2648725096048218,1
B0036,1.001982588175331,1.7860759459480868,10.0,-0.07840933577727557,0.25086271062089854,-1
B0038,0.8980573709676724,1.030941327482094,10.0,-0.013288395651442164,0.05693859826405919,1
B0039,0.1190383185934176,0.4412227248835694,10.0,-0.032218440629015174,0.13761529510620224,-1
B0040,0.6734628137095633,0.7407399462256391,10.0,-0.006727713251607581,0.0346642426408773,1
B0041,0.055620243768194,0.0446343581849161,10.0,0.00109858855832779,0.005735020014899607,-1
B0042,1.7287126633755356,1.6874768094352457,10.0,0.004123585394028994,0.01609197043259443,1
B0043,1.713782642126885,1.633232875930849,10.0,0.008054976619603593,0.02665668104673112,1
B0044,1.686525555152074,1.5978700914991917,10.0,0.008865546365288223,0.029020748595526776,1
B0045,1.0819793880779518,0.7993777411831636,10.0,0.02826016468947882,0.08804340451105369,1
B0046,1.7282392323598248,1.428294264765868,10.0,0.029994496759395674,0.08630729243394249,1
B0047,1.6743047446975208,1.3999974221808271,10.0,0.027430732251669365,0.0783876432289072,1
B0048,1.6579955793677608,1.417241201438662,10.0,0.02407543779290988,0.06849245794198798,1
B0049,0.8583727215167135,0.9053279121173716,10.0,-0.004695519060065811,0.45944579193021096,-1
B0050,0.8631448527758341,1.3607406193458431,10.0,-0.049759576657000905,0.6517621903105613,-1
B0051,0.6434735598158292,0.8830717036634559,10.0,-0.02395981438476267,0.46378121547010065,-1
B0053,1.06914178861943,1.0852752041846463,10.0,-0.001613341556521619,0.032780029267998424,1
B0054,0.7399351039859233,1.018187920878015,10.0,-0.02782528168920916,0.11360505309105245,1
B0055,0.7989997927037011,1.1483647194613424,10.0,-0.03493649267576413,0.142657436531648,1
B0056,0.7852781208785192,1.2292772249257495,10.0,-0.044399910404723034,0.15924100596151208,1
